Calibration Method,Brier Score,Brier 95% CI,ECE,ECE 95% CI,MCE,Reliability,Resolution,Slope,Intercept,Fit Protocol
Raw Uncalibrated Model,0.0781,"[0.0767, 0.0796]",5.24%,"[4.98%, 5.51%]",18.52%,0.0056,0.1741,1.378499984741211,0.20839999616146088,X_train only (No Test Leakage)
Platt Scaling (Sigmoid 5-fold CV),0.0872,"[0.0856, 0.0890]",3.45%,"[3.21%, 3.74%]",11.42%,0.0023,0.1614,1.2086,-0.0122,X_train 5-fold CV
Isotonic Regression (5-fold CV),0.0868,"[0.0853, 0.0885]",3.50%,"[3.24%, 3.77%]",9.32%,0.002,0.153,1.2354,-0.0435,X_train 5-fold CV
