Probability Threshold,Intervened Orders,Intervention Rate,Prevented Delays,Total Intervention Cost ($),Total Penalty Cost ($),Total Operational Cost ($),Net Cost Savings ($),Cost Reduction (%)
p >= 0.10,45844,96.69%,21221,"$687,660.00","$187,252.50","$874,912.50","$373,437.50",29.91%
p >= 0.20,41459,87.44%,20943,"$621,885.00","$201,192.50","$823,077.50","$425,272.50",34.07%
p >= 0.30,33091,69.79%,19744,"$496,365.00","$261,117.50","$757,482.50","$490,867.50",39.32%
p >= 0.40,27241,57.45%,18229,"$408,615.00","$336,852.50","$745,467.50","$502,882.50",40.28%
p >= 0.50,23385,49.32%,16764,"$350,775.00","$410,122.50","$760,897.50","$487,452.50",39.05%
p >= 0.60,20393,43.01%,15169,"$305,895.00","$489,895.00","$795,790.00","$452,560.00",36.25%
p >= 0.70,17144,36.16%,12974,"$257,160.00","$599,630.00","$856,790.00","$391,560.00",31.37%
p >= 0.80,11038,23.28%,8868,"$165,570.00","$804,905.00","$970,475.00","$277,875.00",22.26%
